127.0.0.1 - - [19/May/2021:13:00:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.344%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.555%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.579%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.631%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.655%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.678%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.700%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.725%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.748%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:00:12 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A30%3A12.772%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.469%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.517%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.541%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.570%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.594%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.616%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.639%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.660%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.684%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2021:13:01:23 +0530] "GET /spring-rest-bookclient/?message=404+%3A+%5B%7B%22timestamp%22%3A%222021-05-19T07%3A31%3A23.710%2B00%3A00%22%2C%22status%22%3A404%2C%22error%22%3A%22Not+Found%22%2C%22message%22%3A%22No+message+available%22%2C%22path%22%3A%22%2FBooks%22%7D%5D HTTP/1.1" 302 -
